2.1471,2.1125,2.0596,1.9970,1.9267,1.8455,1.7614,1.6760,1.5870,1.5000,1.4099,1.3219,1.2373,1.1567,1.0753,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0108,1.0877,1.1690,1.2490,1.3354,1.4252,1.5173,1.6103,1.7021,1.7951,1.8825,1.9612,2.0404,2.1125,2.1755,2.2196,2.2577,2.2812,2.2812,2.2734
2.2500,2.2047,2.1471,2.0791,2.0030,1.9155,1.8250,1.7381,1.6425,1.5495,1.4535,1.3631,1.2733,1.1881,1.1042,1.0282,1.0000,1.0000,1.0000,1.0000,1.0000,1.0330,1.1136,1.1989,1.2807,1.3687,1.4633,1.5569,1.6549,1.7520,1.8455,1.9381,2.0278,2.1125,2.1827,2.2500,2.3053,2.3464,2.3633,2.3718,2.3548
2.3298,2.2812,2.2271,2.1541,2.0726,1.9789,1.8825,1.7902,1.6889,1.5908,1.4932,1.3979,1.3062,1.2167,1.1308,1.0512,1.0000,1.0000,1.0000,1.0000,1.0000,1.0512,1.1328,1.2189,1.3036,1.3949,1.4932,1.5908,1.6933,1.7951,1.8934,1.9909,2.0791,2.1683,2.2500,2.3216,2.3718,2.4154,2.4333,2.4424,2.4333
2.3978,2.3548,2.2892,2.2121,2.1262,2.0341,1.9324,1.8301,1.7289,1.6262,1.5279,1.4252,1.3327,1.2396,1.1547,1.0718,1.0000,1.0000,1.0000,1.0000,1.0000,1.0666,1.1486,1.2373,1.3246,1.4159,1.5173,1.6182,1.7199,1.8250,1.9267,2.0278,2.1262,2.2121,2.2972,2.3718,2.4244,2.4699,2.4886,2.4981,2.4886
2.4515,2.4066,2.3381,2.2655,2.1755,2.0726,1.9730,1.8665,1.7614,1.6549,1.5532,1.4503,1.3546,1.2586,1.1690,1.0860,1.0061,1.0000,1.0000,1.0000,1.0000,1.0770,1.1608,1.2490,1.3381,1.4345,1.5350,1.6343,1.7427,1.8455,1.9554,2.0596,2.1541,2.2500,2.3298,2.4066,2.4607,2.5076,2.5367,2.5367,2.5269
2.4886,2.4515,2.3804,2.2972,2.2047,2.1058,1.9970,1.8879,1.7805,1.6718,1.5680,1.4665,1.3659,1.2733,1.1817,1.0968,1.0139,1.0000,1.0000,1.0000,1.0000,1.0824,1.1649,1.2562,1.3436,1.4408,1.5423,1.6466,1.7520,1.8612,1.9671,2.0726,2.1683,2.2655,2.3548,2.4244,2.4886,2.5269,2.5564,2.5664,2.5465
2.5172,2.4699,2.4066,2.3216,2.2271,2.1194,2.0153,1.9043,1.7951,1.6846,1.5793,1.4764,1.3745,1.2807,1.1859,1.1042,1.0202,1.0000,1.0000,1.0000,1.0000,1.0842,1.1670,1.2562,1.3463,1.4440,1.5423,1.6466,1.7520,1.8612,1.9671,2.0726,2.1755,2.2655,2.3548,2.4333,2.4886,2.5367,2.5564,2.5664,2.5564
2.5269,2.4699,2.4066,2.3216,2.2271,2.1262,2.0153,1.9043,1.7951,1.6846,1.5793,1.4764,1.3745,1.2807,1.1881,1.1042,1.0218,1.0000,1.0000,1.0000,1.0000,1.0770,1.1608,1.2538,1.3381,1.4345,1.5350,1.6384,1.7427,1.8507,1.9554,2.0596,2.1612,2.2500,2.3464,2.4154,2.4792,2.5172,2.5465,2.5564,2.5367
2.5076,2.4607,2.3891,2.3053,2.2121,2.1125,2.0030,1.8934,1.7853,1.6760,1.5718,1.4698,1.3716,1.2757,1.1838,1.0987,1.0155,1.0000,1.0000,1.0000,1.0000,1.0683,1.1506,1.2396,1.3273,1.4221,1.5208,1.6222,1.7244,1.8250,1.9324,2.0341,2.1331,2.2271,2.3053,2.3891,2.4424,2.4886,2.5172,2.5172,2.5076
2.4792,2.4244,2.3633,2.2734,2.1827,2.0791,1.9730,1.8718,1.7614,1.6549,1.5532,1.4535,1.3574,1.2635,1.1732,1.0896,1.0061,1.0000,1.0000,1.0000,1.0000,1.0546,1.1367,1.2235,1.3088,1.4009,1.4966,1.5985,1.6933,1.7951,1.8988,1.9970,2.0924,2.1827,2.2655,2.3381,2.3978,2.4424,2.4607,2.4699,2.4515
